Month,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,t,t_square
04-Jan,0,0,0,1,0,0,0,0,0,0,0,0,97,9409
04-Feb,0,0,0,0,1,0,0,0,0,0,0,0,98,9604
04-Mar,0,0,0,0,0,1,0,0,0,0,0,0,99,9801
04-Apr,0,0,0,0,0,0,1,0,0,0,0,0,100,10000
04-May,0,0,0,0,0,0,0,1,0,0,0,0,101,10201
04-Jun,0,0,0,0,0,0,0,0,1,0,0,0,102,10404
04-Jul,0,0,0,0,0,0,0,0,0,1,0,0,103,10609
04-Aug,0,0,0,0,0,0,0,0,0,0,1,0,104,10816
04-Sep,0,0,0,0,0,0,0,0,0,0,0,1,105,11025
10-Oct,1,0,0,0,0,0,0,0,0,0,0,0,106,11236
04-Nov,0,1,0,0,0,0,0,0,0,0,0,0,107,11449
04-Dec,0,0,1,0,0,0,0,0,0,0,0,0,108,11664
